subject_tree,object_tree,predicate_tree,sentence,parse_tree,subject,object_,predicate
Acheron  ,"a   modern river in Acarnania ( Epirus ) , which occasion- ally   runs   underground", is ,"the banks of the river were said to be peopled by the shades of the dead .  ===acheron   is   also   the   name   of   a   modern river in acarnania ( epirus ) , which occasion- ally   runs   underground .  ===near   its   mouth there   was   a   famous   oracle   of   the   dead ,   at ephyra , where mortals could obtain advice from   the   gods   of   the   underworld .  ","Acheron | nsubj | PROPN | [ ]
Minos (he),"menacing   the Argonauts ,  ", was ,"a bull - headed ,   bronze   giant ,   made   by hephaistos , who ran around the coast of crete   constantly ,   destroying   anybody   who   at- tempted to land on the island , thereby secur- ing   the   realm   of   minos .  ===according   to   some sources   he   was   menacing   the argonauts ,   on their   return   journey   from  ===colchis   with   the golden   fleece ,   when   medeä   identified   the giant ’s one weak spot , the ankle , where his sin- gle vein of ichor came close to the surface .","According | prep | VERB | [ , to, sources]
  |  | SPACE | []
to | prep | ADP | [ ]
  |  | SPACE | []
some | det | DET | []
sources | pobj | NOUN | [some,  ]
  |  | SPACE | []
he | nsubj | PRON | [ ]
  |  | SPACE | []
was | ROOT | VERB | [According, he,  , Argonauts, on]
  |  | SPACE | []
menacing | amod | ADJ | [ ]
  |  | SPACE | []
the | det | DET | []
Argonauts | attr | PROPN | [menacing, the, ,]
, | punct | PUNCT | [ ]
  |  | SPACE | []
on | prep | ADP | [return]
their | poss | ADJ | [ ]
  |  | SPACE | []
return | pobj | NOUN | [their,  , journey]
  |  | SPACE | []
journey | appos | NOUN | [ , from]
  |  | SPACE | []
from | prep | ADP | [ ]
  |  | SPACE | []",he,Argonauts,was
The goddess Artemis,Iphigeneia, carried ,"earliest - known   inhabitants   of   its   southern coast , the tauri .===the goddess artemis carried iphigeneia to this area after snatching her from the altar at aulis , where she was being offered as   a   sacrifice   to   the   goddess   by   her   father , agamemnon ,   after   the   greek   fleet   was becalmed while on its way to the start of the trojan war .  ===iphigeneia ’s brother , orestes , accompanied by   his   friend ,   pylades ,   later   came   to   tauris .","The | det | DET | []
goddess | nsubj | NOUN | [The, Artemis]
Artemis | appos | PROPN | []
carried | ROOT | VERB | [goddess, Iphigeneia, to, after, becalmed, .]
Iphigeneia | dobj | PROPN | []
to | prep | ADP | [area]
this | det | DET | []
area | pobj | NOUN | [this]
after | prep | ADP | [snatching]
snatching | pcomp | VERB | [her, from]
her | dobj | PRON | []
from | prep | ADP | [altar]
the | det | DET | []
altar | pobj | NOUN | [the, at]
at | prep | ADP | [Aulis]
Aulis | pobj | PROPN | [,, offered]
, | punct | PUNCT | []
where | advmod | ADV | []
she | nsubjpass | PRON | []
was | aux | VERB | []
being | auxpass | VERB | []
offered | relcl | VERB | [where, she, was, being, as, by, after]
as | prep | ADP | [ , sacrifice]
  |  | SPACE | []
a | det | DET | [ ]
  |  | SPACE | []
sacrifice | pobj | NOUN | [a,  , to, goddess]
  |  | SPACE | []
to | prep | ADP | [ ]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
goddess | appos | NOUN | [the,  ]
  |  | SPACE | []
by | agent | ADP | [ , father]
  |  | SPACE | []
her | poss | ADJ | [ ]
  |  | SPACE | []
father | pobj | NOUN | [her, ,, Agamemnon, ,]
, | punct | PUNCT | []
Agamemnon | appos | PROPN | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
after | prep | ADP | [ , fleet]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
Greek | amod | PROPN | [ ]
  |  | SPACE | []
fleet | pobj | NOUN | [the, Greek,  ]
  |  | SPACE | []
was | auxpass | VERB | []
becalmed | advcl | VERB | [was, on]
while | mark | ADP | []
on | prep | ADP | [while, way]
its | poss | ADJ | []
way | pobj | NOUN | [its, to]
to | prep | ADP | [start]
the | det | DET | []
start | pobj | NOUN | [the, of]
of | prep | ADP | [War]
the | det | DET | []
Trojan | compound | PROPN | []
War | pobj | PROPN | [the, Trojan]
. | punct | PUNCT | [ ]
  |  | SPACE | []",goddess,Iphigeneia,carried
Rhea,great artisans, were ,"either   a   mythical   race   or   group ,   possibly   of web - footed   or   fish - tailed   daemones , living   on rhodes , described variously .===rhea was said to have   entrusted   the   infant   poseidon   to   their care ; they were great artisans , having the abil- ity   to   work   metal ,   and   were   supposedly   the makers of the sickle of cronos and the trident of poseidon , though the trident ’s manufacture is   usually   attributed   to   the   cyclopes .  ===they were also credited with the invention of sculp- ture , for which hellenic rhodes was famous .","Rhea | nsubjpass | PROPN | []
was | auxpass | VERB | []
said | ccomp | VERB | [Rhea, was, entrusted]
to | aux | PART | []
have | aux | VERB | [to,  ]
  |  | SPACE | []
entrusted | xcomp | VERB | [have,  , infant, to]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
infant | dobj | NOUN | [the,  , Poseidon]
  |  | SPACE | []
Poseidon | appos | PROPN | [ ]
  |  | SPACE | []
to | prep | ADP | [ , care]
  |  | SPACE | []
their | poss | ADJ | []
care | pobj | NOUN | [their]
; | punct | PUNCT | []
they | nsubj | PRON | []
were | ROOT | VERB | [said, ;, they, artisans, ,, having, were, .]
great | amod | ADJ | []
artisans | attr | NOUN | [great]
, | punct | PUNCT | []
having | advcl | VERB | [ity, to]
the | det | DET | []
abil- | compound | ADJ | []
ity | dobj | NOUN | [the, abil-,  ]
  |  | SPACE | []
to | prep | ADP | [ , metal]
  |  | SPACE | []
work | nmod | NOUN | [ ]
  |  | SPACE | []
metal | pobj | NOUN | [work, ,, and]
, | punct | PUNCT | [ ]
  |  | SPACE | []
and | cc | CCONJ | [ ]
  |  | SPACE | []
were | conj | VERB | [ , makers, ,, attributed]
  |  | SPACE | []
supposedly | advmod | ADV | [ ]
  |  | SPACE | []
the | det | DET | []
makers | attr | NOUN | [supposedly, the, of]
of | prep | ADP | [sickle]
the | det | DET | []
sickle | pobj | NOUN | [the, of, and, trident]
of | prep | ADP | [Cronos]
Cronos | pobj | PROPN | []
and | cc | CCONJ | []
the | det | DET | []
trident | conj | NOUN | [the, of]
of | prep | ADP | [Poseidon]
Poseidon | pobj | PROPN | []
, | punct | PUNCT | []
though | mark | ADP | []
the | det | DET | []
trident | poss | NOUN | [the, ’s]
’s | case | PART | []
manufacture | nsubj | NOUN | [trident]
is | auxpass | VERB | [ ]
  |  | SPACE | []
usually | advmod | ADV | [ ]
  |  | SPACE | []
attributed | advcl | VERB | [though, manufacture, is, usually,  , to]
  |  | SPACE | []
to | prep | ADP | [ , Cyclopes]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
Cyclopes | pobj | PROPN | [the]
. | punct | PUNCT | [ ]
  |  | SPACE | []",Rhea,artisans,were
Apollo,the place where he sought purifica- tion after killing the Python, was ,"a beautiful   valley   in   thessaly ,   between mounts   olympus   and   ossa ,   through   which the river peneus flows .===here apollo pursued    daphne , the daughter of the river god peneus ; it was also the place where he sought purifica- tion after killing the python .  ===to manhood , the boys returned to alba longa and killed tarchetius .  ","Here | advmod | ADV | []
Apollo | nsubj | PROPN | []
pursued | ccomp | VERB | [Here, Apollo,   , Daphne]
   |  | SPACE | []
Daphne | dobj | PROPN | [,, daughter, god]
, | punct | PUNCT | []
the | det | DET | []
daughter | appos | NOUN | [the, of]
of | prep | ADP | [river]
the | det | DET | []
river | pobj | NOUN | [the]
god | appos | NOUN | [Peneus]
Peneus | pobj | PROPN | []
; | punct | PUNCT | []
it | nsubj | PRON | []
was | ROOT | VERB | [pursued, ;, it, also, place, .]
also | advmod | ADV | []
the | det | DET | []
place | attr | NOUN | [the, sought]
where | advmod | ADV | []
he | nsubj | PRON | []
sought | relcl | VERB | [where, he, tion, after]
purifica- | compound | ADJ | []
tion | dobj | NOUN | [purifica-]
after | prep | ADP | [killing]
killing | pcomp | VERB | [Python]
the | det | DET | []
Python | dobj | PROPN | [the]
. | punct | PUNCT | [ ]
  |  | SPACE | []",Apollo,place,was
Greek (she),the second wife of Zeus and by him, was ,"296 themis   themis greek  ===the personification of law , order , and justice ; one of the titan daughters of uranos and ge , she was the second wife of zeus and by him became the mother of the horae , the moirae , eunomia , dike , astraea , and eirene , or irene .===although   a   titan ,   she   was   honored   by   the gods   of   olympus   for   her   wisdom   and   fore- sight .  ","The | det | DET | []
personification | dep | NOUN | [The, of, ;, one]
of | prep | ADP | [law]
law | pobj | NOUN | [,, order]
, | punct | PUNCT | []
order | conj | NOUN | [,, and, justice]
, | punct | PUNCT | []
and | cc | CCONJ | []
justice | conj | NOUN | []
; | punct | PUNCT | []
one | appos | NUM | [of]
of | prep | ADP | [daughters]
the | det | DET | []
Titan | amod | PROPN | []
daughters | pobj | NOUN | [the, Titan, of]
of | prep | ADP | [Uranos]
Uranos | pobj | PROPN | [and, Ge]
and | cc | CCONJ | []
Ge | conj | PROPN | []
, | punct | PUNCT | []
she | nsubj | PRON | []
was | ROOT | VERB | [personification, ,, she, wife, became, .]
the | det | DET | []
second | amod | ADJ | []
wife | attr | NOUN | [the, second, of]
of | prep | ADP | [Zeus, and, by]
Zeus | pobj | PROPN | []
and | cc | CCONJ | []
by | conj | ADP | [him]
him | pobj | PRON | []
became | conj | VERB | [mother]
the | det | DET | []
mother | attr | NOUN | [the, of]
of | prep | ADP | [Horae]
the | det | DET | []
Horae | pobj | PROPN | [the, ,, Moirae]
, | punct | PUNCT | []
the | det | DET | []
Moirae | appos | PROPN | [the, ,, Eunomia]
, | punct | PUNCT | []
Eunomia | conj | PROPN | [,, Dike]
, | punct | PUNCT | []
Dike | conj | PROPN | [,, Astraea]
, | punct | PUNCT | []
Astraea | conj | PROPN | [,, and, Eirene]
, | punct | PUNCT | []
and | cc | CCONJ | []
Eirene | conj | PROPN | [,, or, Irene]
, | punct | PUNCT | []
or | cc | CCONJ | []
Irene | conj | PROPN | []
. | punct | PUNCT | []",she,wife,was
"a   Titan ,   she  ",honored   by   the gods   of   Olympus   for   her   wisdom   and   fore- sight, was ,"the personification of law , order , and justice ; one of the titan daughters of uranos and ge , she was the second wife of zeus and by him became the mother of the horae , the moirae , eunomia , dike , astraea , and eirene , or irene .===although   a   titan ,   she   was   honored   by   the gods   of   olympus   for   her   wisdom   and   fore- sight .  ===she   acted   as   the   housekeeper   to   the   gods and muse to zeus , functioning also as midwife at   the   births   of   apollo   and   artemis .  ","Although | mark | ADP | [ ]
  |  | SPACE | []
a | det | DET | [ ]
  |  | SPACE | []
Titan | nsubj | PROPN | [a, ,, she]
, | punct | PUNCT | [ ]
  |  | SPACE | []
she | appos | PRON | [ ]
  |  | SPACE | []
was | ROOT | VERB | [Although, Titan,  , honored, .]
  |  | SPACE | []
honored | acomp | VERB | [ , by, gods, for]
  |  | SPACE | []
by | prep | ADP | [ ]
  |  | SPACE | []
the | det | DET | []
gods | dobj | NOUN | [the,  , of, Olympus]
  |  | SPACE | []
of | prep | ADP | [ ]
  |  | SPACE | []
Olympus | appos | PROPN | [ ]
  |  | SPACE | []
for | prep | ADP | [ , wisdom]
  |  | SPACE | []
her | poss | ADJ | [ ]
  |  | SPACE | []
wisdom | pobj | NOUN | [her,  , and, sight]
  |  | SPACE | []
and | cc | CCONJ | [ ]
  |  | SPACE | []
fore- | compound | NOUN | []
sight | conj | NOUN | [fore-]
. | punct | PUNCT | [ ]
  |  | SPACE | []",Titan,honored,was
Athens (she),him, was ,"as aegeus left troezen to return to athens he hid a sword and sandals beneath a large rock .===he told aethra that when their son , whom she was to raise in secret , had reached manhood she was to show him the tokens ; if he   could   lift   the   rock   and   retrieve   them ,   she was to send him on to athens .  ===naturally enough the young theseus suc- ceeded   in   retrieving   the   tokens ,   and   rather than going by sea he left for athens via the isthmus   of   corinth .  ","He | nsubj | PRON | []
told | ccomp | VERB | [He, Aethra, was]
Aethra | dobj | PROPN | []
that | mark | ADP | []
when | advmod | ADV | []
their | poss | ADJ | []
son | nsubj | NOUN | [their, ,, was]
, | punct | PUNCT | []
whom | dobj | NOUN | []
she | nsubj | PRON | []
was | relcl | VERB | [she, raise]
to | aux | PART | []
raise | xcomp | VERB | [whom, to, in]
in | prep | ADP | [secret]
secret | pobj | NOUN | []
, | punct | PUNCT | []
had | aux | VERB | []
reached | advcl | VERB | [when, son, ,, had, manhood]
manhood | dobj | NOUN | []
she | nsubj | PRON | []
was | ccomp | VERB | [that, reached, she, show]
to | aux | PART | []
show | xcomp | VERB | [to, him, tokens]
him | dative | PRON | []
the | det | DET | []
tokens | dobj | NOUN | [the]
; | punct | PUNCT | []
if | mark | ADP | []
he | nsubj | PRON | [ ]
  |  | SPACE | []
could | advcl | VERB | [if, he,  , lift]
  |  | SPACE | []
lift | dobj | NOUN | [ , rock]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
rock | appos | NOUN | [the,  , and, retrieve]
  |  | SPACE | []
and | cc | CCONJ | [ ]
  |  | SPACE | []
retrieve | conj | NOUN | [ , them]
  |  | SPACE | []
them | dobj | PRON | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
she | nsubj | PRON | []
was | ROOT | VERB | [told, ;, could, ,, she, send, .]
to | aux | PART | []
send | xcomp | VERB | [to, him, on, to]
him | dobj | PRON | []
on | prt | PART | []
to | prep | ADP | [Athens]
Athens | pobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,him,was
Greek (she),some of her grand- father ’s powers of prophecy, appears ,"see also : orestes   tisiphone   greek   1 .  ===the   daughter   of   alcmaeon   and   manto , daughter of teiresias ; through her mother she appears to have inherited some of her grand- father ’s powers of prophecy .  ===2 .","The | det | DET | [ ]
  |  | SPACE | []
daughter | nsubj | NOUN | [The,  , of, and, Manto]
  |  | SPACE | []
of | prep | ADP | [ , Alcmaeon]
  |  | SPACE | []
Alcmaeon | pobj | PROPN | [ ]
  |  | SPACE | []
and | cc | CCONJ | [ ]
  |  | SPACE | []
Manto | appos | PROPN | [,, daughter]
, | punct | PUNCT | []
daughter | appos | NOUN | [of]
of | prep | ADP | [Teiresias]
Teiresias | pobj | PROPN | []
; | punct | PUNCT | []
through | prep | ADP | [mother]
her | poss | ADJ | []
mother | pobj | NOUN | [her]
she | nsubj | PRON | []
appears | ROOT | VERB | [daughter, ;, through, she, inherited, .]
to | aux | PART | []
have | aux | VERB | []
inherited | xcomp | VERB | [to, have, some]
some | dobj | DET | [of]
of | prep | ADP | [powers]
her | poss | ADJ | []
grand- | compound | ADJ | []
father | poss | NOUN | [her, grand-, ’s]
’s | case | PART | []
powers | pobj | NOUN | [father, of]
of | prep | ADP | [prophecy]
prophecy | pobj | NOUN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,some,appears
the goddess Demeter,Triptolemus, taught ,"( king   of eleusis ) .===while the goddess demeter was stay- ing   with   his   parents   during   her   futile   search for her daughter , persephone , demeter taught triptolemus how to sow , tend , and reap grain , thus giving him a grounding in the arts of agri- culture .  ===as   a   result  ","While | mark | ADP | []
the | det | DET | []
goddess | nsubj | NOUN | [the, Demeter]
Demeter | appos | PROPN | []
was | advcl | VERB | [While, goddess, ing]
stay- | aux | ADV | []
ing | attr | NOUN | [stay-,  , with, during]
  |  | SPACE | []
with | prep | ADP | [ , parents]
  |  | SPACE | []
his | poss | ADJ | [ ]
  |  | SPACE | []
parents | pobj | NOUN | [his,  ]
  |  | SPACE | []
during | prep | ADP | [ , search]
  |  | SPACE | []
her | poss | PRON | [ ]
  |  | SPACE | []
futile | amod | ADJ | [ ]
  |  | SPACE | []
search | pobj | NOUN | [her, futile, for]
for | prep | ADP | [daughter]
her | poss | ADJ | []
daughter | pobj | NOUN | [her, ,, Persephone, ,]
, | punct | PUNCT | []
Persephone | appos | PROPN | []
, | punct | PUNCT | []
Demeter | nsubj | PROPN | []
taught | ROOT | VERB | [was, Demeter, Triptolemus, sow, .]
Triptolemus | dobj | PROPN | []
how | advmod | ADV | []
to | aux | PART | []
sow | xcomp | VERB | [how, to, ,, tend, ,, giving]
, | punct | PUNCT | []
tend | conj | VERB | [,, and, reap]
, | punct | PUNCT | []
and | cc | CCONJ | []
reap | conj | VERB | [grain]
grain | dobj | NOUN | []
, | punct | PUNCT | []
thus | advmod | ADV | []
giving | advcl | VERB | [thus, him, grounding]
him | dative | PRON | []
a | det | DET | []
grounding | dobj | NOUN | [a, in]
in | prep | ADP | [arts]
the | det | DET | []
arts | pobj | NOUN | [the, of]
of | prep | ADP | [culture]
agri- | amod | ADJ | []
culture | pobj | NOUN | [agri-]
. | punct | PUNCT | [ ]
  |  | SPACE | []",goddess,Triptolemus,taught
Odysseus (he),unable to avoid serving in the war, was ,"odysseus reacted as any sane father would , rescuing the child .===thus he was unable to avoid serving in the war .  ===additional forces joined the huge fleet that agamemnon was gathering .","Thus | advmod | ADV | []
he | nsubj | PRON | []
was | ROOT | VERB | [Thus, he, unable, .]
unable | acomp | ADJ | [avoid]
to | aux | PART | []
avoid | xcomp | VERB | [to, serving]
serving | xcomp | VERB | [in]
in | prep | ADP | [war]
the | det | DET | []
war | pobj | NOUN | [the]
. | punct | PUNCT | [ ]
  |  | SPACE | []",he,unable,was
Aphrodite,him, carried ,"things   quickly   turned   in   favor   of   the trojans ,   so   much   so   that   agamemnon   was glad to grant a truce while paris and menelaus met in single combat in an attempt to settle the conflict .  ===however ,   when   paris   was   on   the point of losing the duel , aphrodite carried him away , and the fighting once more broke out .  ===diomedes   wounded   aeneas  ","However | advmod | ADV | []
