subject_tree,object_tree,predicate_tree,sentence,parse_tree,subject,object_,predicate
Acheron,"the name of a modern river in Acarnania ( Epirus ) , which occasion- ally runs underground", is also,"the banks of the river were said to be peopled by the shades of the dead .  ===acheron is also the name of a modern river in acarnania ( epirus ) , which occasion- ally runs underground .===near its mouth there was a famous oracle of the dead , at ephyra , where mortals could obtain advice from the gods of the underworld .","Acheron | nsubj | PROPN | []
  |  | SPACE | []",Sirius,magnitude,is
Artemis,another deity worshipped in the city, was ,"the city was also an important center of the worship of athene ; not surprisingly , it was also a cult cen- ter of ares , god of war .===artemis was another deity worshipped in the city , her cult being particularly brutal , for young men and boys were scourged at her altar until they sprinkled it with their blood .  ===see also : aeschylus ; euripides  ","Artemis | nsubj | PROPN | []
was | ROOT | VERB | [Artemis, deity, ,, being, .]
another | det | DET | []
deity | attr | NOUN | [another, worshipped]
worshipped | acl | VERB | [in]
in | prep | ADP | [city]
the | det | DET | []
city | pobj | NOUN | [the]
, | punct | PUNCT | []
her | poss | ADJ | []
cult | nsubj | NOUN | [her]
being | advcl | VERB | [cult, brutal, ,, for, scourged]
particularly | advmod | ADV | []
brutal | acomp | ADJ | [particularly]
, | punct | PUNCT | []
for | prep | ADP | [men]
young | amod | ADJ | []
men | pobj | NOUN | [young, and, boys]
and | cc | CCONJ | []
boys | conj | NOUN | []
were | auxpass | VERB | []
scourged | conj | VERB | [were, at, sprinkled]
at | prep | ADP | [altar]
her | poss | ADJ | []
altar | pobj | NOUN | [her]
until | mark | ADP | []
they | nsubj | PRON | []
sprinkled | advcl | VERB | [until, they, it, with]
it | dobj | PRON | []
with | prep | ADP | [blood]
their | poss | ADJ | []
blood | pobj | NOUN | [their]
. | punct | PUNCT | [ ]
  |  | SPACE | []",Artemis,deity,was
only Medusa,mortal, was ,": andromeda ; perseus ; seven against thebes   stheno greek   one of the three daughters of phorcys and ceto , her sisters being euryale and medusa .===of the three , only medusa was mortal .===she and her sisters were better known as the hideous gorgons with serpents for hair and a look that could turn the beholder to stone .","Of | prep | ADP | [three]
the | det | DET | []
three | pobj | NUM | [the]
, | punct | PUNCT | []
only | advmod | ADV | []
Medusa | nsubj | PROPN | [only]
was | ROOT | VERB | [Of, ,, Medusa, mortal, .]
mortal | acomp | ADJ | []
. | punct | PUNCT | []",Medusa,mortal,was
nymph (he),Etruscan in origin, was probably,"also known as tarqin the proud , one of the tarquinii and the seventh and last semi- legendary king of rome , the sixth successor after romulus .===like tarquinius priscus , the other of the tarquinii , he was probably etruscan in origin , a despot who traditionally reigned from 534 b.c. to 510 b.c.===he usurped the throne by killing his brother , arruns tarquinius , at the instigation of tullia ( his sister - in - law and daughter of king servius tullius , whom he also killed to secure the throne ) .","Like | prep | ADP | [Priscus]
Tarquinius | compound | PROPN | []
Priscus | pobj | PROPN | [Tarquinius, ,, other]
, | punct | PUNCT | []
the | det | DET | []
other | appos | ADJ | [the, of]
of | prep | ADP | [Tarquinii]
the | det | DET | []
Tarquinii | pobj | PROPN | [the]
, | punct | PUNCT | []
he | nsubj | PRON | []
was | ROOT | VERB | [Like, ,, he, probably, Etruscan, ,, despot]
probably | advmod | ADV | []
Etruscan | attr | ADJ | [in]
in | prep | ADP | [origin]
origin | pobj | NOUN | []
, | punct | PUNCT | []
a | det | DET | []
despot | appos | NOUN | [a, reigned]
who | nsubj | NOUN | []
traditionally | advmod | ADV | []
reigned | relcl | VERB | [who, traditionally, from, to]
from | prep | ADP | [B.C.]
534 | nummod | NUM | []
B.C. | pobj | PROPN | [534]
to | prep | ADP | [B.C.]
510 | nummod | NUM | []
B.C. | pobj | PROPN | [510]",he,Etruscan,was
The goddess Artemis,Iphigeneia, carried ,"earliest - known inhabitants of its southern coast , the tauri .===the goddess artemis carried iphigeneia to this area after snatching her from the altar at aulis , where she was being offered as a sacrifice to the goddess by her father , agamemnon , after the greek fleet was becalmed while on its way to the start of the trojan war .  ===iphigeneia ’s brother , orestes , accompanied by his friend , pylades , later came to tauris .","The | det | DET | []
goddess | nsubj | NOUN | [The, Artemis]
Artemis | appos | PROPN | []
carried | ROOT | VERB | [goddess, Iphigeneia, to, after, .]
Iphigeneia | dobj | PROPN | []
to | prep | ADP | [area]
this | det | DET | []
area | pobj | NOUN | [this]
after | prep | ADP | [snatching]
snatching | pcomp | VERB | [her, from, becalmed]
her | dobj | PRON | []
from | prep | ADP | [altar]
the | det | DET | []
altar | pobj | NOUN | [the, at]
at | prep | ADP | [Aulis]
Aulis | pobj | PROPN | [,, offered, ,]
, | punct | PUNCT | []
where | advmod | ADV | []
she | nsubjpass | PRON | []
was | aux | VERB | []
being | auxpass | VERB | []
offered | relcl | VERB | [where, she, was, being, as, by]
as | prep | ADP | [sacrifice]
a | det | DET | []
sacrifice | pobj | NOUN | [a, to]
to | prep | ADP | [goddess]
the | det | DET | []
goddess | pobj | NOUN | [the]
by | agent | ADP | [father]
her | poss | ADJ | []
father | pobj | NOUN | [her, ,, Agamemnon]
, | punct | PUNCT | []
Agamemnon | appos | PROPN | []
, | punct | PUNCT | []
after | mark | ADP | []
the | det | DET | []
Greek | amod | ADJ | []
fleet | nsubjpass | NOUN | [the, Greek]
was | auxpass | VERB | []
becalmed | advcl | VERB | [after, fleet, was, on]
while | mark | ADP | []
on | prep | ADP | [while, way]
its | poss | ADJ | []
way | pobj | NOUN | [its, to]
to | prep | ADP | [start]
the | det | DET | []
start | pobj | NOUN | [the, of]
of | prep | ADP | [War]
the | det | DET | []
Trojan | compound | PROPN | []
War | pobj | PROPN | [the, Trojan]
. | punct | PUNCT | [ ]
  |  | SPACE | []",goddess,Iphigeneia,carried
Rhea,great artisans, were ,"either a mythical race or group , possibly of web - footed or fish - tailed daemones , living on rhodes , described variously .===rhea was said to have entrusted the infant poseidon to their care ; they were great artisans , having the abil- ity to work metal , and were supposedly the makers of the sickle of cronos and the trident of poseidon , though the trident ’s manufacture is usually attributed to the cyclopes .===they were also credited with the invention of sculp- ture , for which hellenic rhodes was famous .","Rhea | nsubjpass | PROPN | []
was | auxpass | VERB | []
said | ccomp | VERB | [Rhea, was, entrusted]
to | aux | PART | []
have | aux | VERB | []
entrusted | xcomp | VERB | [to, have, Poseidon, to]
the | det | DET | []
infant | compound | NOUN | []
Poseidon | dobj | PROPN | [the, infant]
to | prep | ADP | [care]
their | poss | ADJ | []
care | pobj | NOUN | [their]
; | punct | PUNCT | []
they | nsubj | PRON | []
were | ROOT | VERB | [said, ;, they, artisans, ,, having, attributed, .]
great | amod | ADJ | []
artisans | attr | NOUN | [great]
, | punct | PUNCT | []
having | advcl | VERB | [work, ,, and, were]
the | det | DET | []
abil- | compound | ADJ | []
ity | nsubj | NOUN | [the, abil-]
to | aux | PART | []
work | ccomp | VERB | [ity, to, metal]
metal | dobj | NOUN | []
, | punct | PUNCT | []
and | cc | CCONJ | []
were | conj | VERB | [supposedly, makers, ,]
supposedly | advmod | ADV | []
the | det | DET | []
makers | attr | NOUN | [the, of]
of | prep | ADP | [sickle]
the | det | DET | []
sickle | pobj | NOUN | [the, of, and, trident]
of | prep | ADP | [Cronos]
Cronos | pobj | PROPN | []
and | cc | CCONJ | []
the | det | DET | []
trident | conj | NOUN | [the, of]
of | prep | ADP | [Poseidon]
Poseidon | pobj | PROPN | []
, | punct | PUNCT | []
though | mark | ADP | []
the | det | DET | []
trident | poss | NOUN | [the, ’s]
’s | case | PART | []
manufacture | nsubjpass | NOUN | [trident]
is | auxpass | VERB | []
usually | advmod | ADV | []
attributed | advcl | VERB | [though, manufacture, is, usually, to]
to | prep | ADP | [Cyclopes]
the | det | DET | []
Cyclopes | pobj | PROPN | [the]
. | punct | PUNCT | []",Rhea,artisans,were
Apollo,the place where he sought purifica- tion after killing the Python, was also,"a beautiful valley in thessaly , between mounts olympus and ossa , through which the river peneus flows .===here apollo pursued    daphne , the daughter of the river god peneus ; it was also the place where he sought purifica- tion after killing the python .  ===to manhood , the boys returned to alba longa and killed tarchetius .  ","Here | advmod | ADV | []
Apollo | nsubj | PROPN | []
pursued | ccomp | VERB | [Here, Apollo,   , Daphne]
   |  | SPACE | []
Daphne | dobj | PROPN | [,, daughter, god]
, | punct | PUNCT | []
the | det | DET | []
daughter | appos | NOUN | [the, of]
of | prep | ADP | [river]
the | det | DET | []
river | pobj | NOUN | [the]
god | appos | NOUN | [Peneus]
Peneus | pobj | PROPN | []
; | punct | PUNCT | []
it | nsubj | PRON | []
was | ROOT | VERB | [pursued, ;, it, also, place, .]
also | advmod | ADV | []
the | det | DET | []
place | attr | NOUN | [the, sought]
where | advmod | ADV | []
he | nsubj | PRON | []
sought | relcl | VERB | [where, he, tion, after]
purifica- | compound | ADJ | []
tion | dobj | NOUN | [purifica-]
after | prep | ADP | [killing]
killing | pcomp | VERB | [Python]
the | det | DET | []
Python | dobj | PROPN | [the]
. | punct | PUNCT | [ ]
  |  | SPACE | []",Apollo,place,was
nymph (she),"the mother of Helios , Eos , and Selene by Hyperion and of the Cercopes by Oceanos", was ,"boeotia ; cadmos ; harmonia ; oedipus ; seven against thebes ; sparti   theia greek   one of the titan daughters of uranos and ge===, she was the mother of helios , eos , and selene by hyperion and of the cercopes by oceanos .   ===296 themis   themis greek  ",", | punct | PUNCT | []
she | nsubj | PRON | []
was | ROOT | VERB | [,, she, mother, .]
the | det | DET | []
mother | attr | NOUN | [the, of, by, by]
of | prep | ADP | [Helios]
Helios | pobj | PROPN | [,, Eos]
, | punct | PUNCT | []
Eos | conj | PROPN | [,, and, Selene]
, | punct | PUNCT | []
and | cc | CCONJ | []
Selene | conj | PROPN | []
by | prep | ADP | [Hyperion, and, of]
Hyperion | pobj | PROPN | []
and | cc | CCONJ | []
of | conj | ADP | [Cercopes]
the | det | DET | []
Cercopes | pobj | NOUN | [the]
by | prep | ADP | [Oceanos]
Oceanos | pobj | PROPN | []
. | punct | PUNCT | [  ]
   |  | SPACE | []",she,mother,was
nymph (she),the second wife of Zeus and by him, was ,"296 themis   themis greek  ===the personification of law , order , and justice ; one of the titan daughters of uranos and ge , she was the second wife of zeus and by him became the mother of the horae , the moirae , eunomia , dike , astraea , and eirene , or irene .===although a titan , she was honored by the gods of olympus for her wisdom and fore- sight .  ","The | det | DET | []
personification | dep | NOUN | [The, of, ;, one]
of | prep | ADP | [law]
law | pobj | NOUN | [,, order]
, | punct | PUNCT | []
order | conj | NOUN | [,, and, justice]
, | punct | PUNCT | []
and | cc | CCONJ | []
justice | conj | NOUN | []
; | punct | PUNCT | []
one | appos | NUM | [of]
of | prep | ADP | [daughters]
the | det | DET | []
Titan | amod | PROPN | []
daughters | pobj | NOUN | [the, Titan, of]
of | prep | ADP | [Uranos]
Uranos | pobj | PROPN | [and, Ge]
and | cc | CCONJ | []
Ge | conj | PROPN | []
, | punct | PUNCT | []
she | nsubj | PRON | []
was | ROOT | VERB | [personification, ,, she, wife, became, .]
the | det | DET | []
second | amod | ADJ | []
wife | attr | NOUN | [the, second, of]
of | prep | ADP | [Zeus, and, by]
Zeus | pobj | PROPN | []
and | cc | CCONJ | []
by | conj | ADP | [him]
him | pobj | PRON | []
became | conj | VERB | [mother]
the | det | DET | []
mother | attr | NOUN | [the, of]
of | prep | ADP | [Horae]
the | det | DET | []
Horae | pobj | PROPN | [the, ,, Moirae]
, | punct | PUNCT | []
the | det | DET | []
Moirae | appos | PROPN | [the, ,, Eunomia]
, | punct | PUNCT | []
Eunomia | conj | PROPN | [,, Dike]
, | punct | PUNCT | []
Dike | conj | PROPN | [,, Astraea]
, | punct | PUNCT | []
Astraea | conj | PROPN | [,, and, Eirene]
, | punct | PUNCT | []
and | cc | CCONJ | []
Eirene | conj | PROPN | [,, or, Irene]
, | punct | PUNCT | []
or | cc | CCONJ | []
Irene | conj | PROPN | []
. | punct | PUNCT | []",she,wife,was
nymph (son),him, was ,"as aegeus left troezen to return to athens he hid a sword and sandals beneath a large rock .===he told aethra that when their son , whom she was to raise in secret , had reached manhood she was to show him the tokens ; if he could lift the rock and retrieve them , she was to send him on to athens .  ===naturally enough the young theseus suc- ceeded in retrieving the tokens , and rather than going by sea he left for athens via the isthmus of corinth .","He | nsubj | PRON | []
told | ccomp | VERB | [He, Aethra, was]
Aethra | dobj | PROPN | []
that | mark | ADP | []
when | advmod | ADV | []
their | poss | ADJ | []
son | nsubj | NOUN | [their, ,, was]
, | punct | PUNCT | []
whom | dobj | NOUN | []
she | nsubj | PRON | []
was | relcl | VERB | [she, raise]
to | aux | PART | []
raise | xcomp | VERB | [whom, to, in]
in | prep | ADP | [secret]
secret | pobj | NOUN | []
, | punct | PUNCT | []
had | aux | VERB | []
reached | advcl | VERB | [when, son, ,, had, manhood]
manhood | dobj | NOUN | []
she | nsubj | PRON | []
was | ccomp | VERB | [that, reached, she, show]
to | aux | PART | []
show | xcomp | VERB | [to, him, tokens]
him | dative | PRON | []
the | det | DET | []
tokens | dobj | NOUN | [the]
; | punct | PUNCT | []
if | mark | ADP | []
he | nsubj | PRON | []
could | aux | VERB | []
lift | advcl | VERB | [if, he, could, rock, and, retrieve]
the | det | DET | []
rock | dobj | NOUN | [the]
and | cc | CCONJ | []
retrieve | conj | VERB | [them]
them | dobj | PRON | []
, | punct | PUNCT | []
she | nsubj | PRON | []
was | ROOT | VERB | [told, ;, lift, ,, she, send, .]
to | aux | PART | []
send | xcomp | VERB | [to, him, on, to]
him | dobj | PRON | []
on | prt | PART | []
to | prep | ADP | [Athens]
Athens | pobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",son,him,was
nymph (she),some of her grand- father ’s powers of prophecy, appears ,"see also : orestes   tisiphone   greek   1 .===the daughter of alcmaeon and manto , daughter of teiresias ; through her mother she appears to have inherited some of her grand- father ’s powers of prophecy .  ===2 .","The | det | DET | []
daughter | nsubj | NOUN | [The, of, ,, daughter]
of | prep | ADP | [Alcmaeon]
Alcmaeon | pobj | PROPN | [and, Manto]
and | cc | CCONJ | []
Manto | conj | PROPN | []
, | punct | PUNCT | []
daughter | appos | NOUN | [of]
of | prep | ADP | [Teiresias]
Teiresias | pobj | PROPN | []
; | punct | PUNCT | []
through | prep | ADP | [mother]
her | poss | ADJ | []
mother | pobj | NOUN | [her]
she | nsubj | PRON | []
appears | ROOT | VERB | [daughter, ;, through, she, inherited, .]
to | aux | PART | []
have | aux | VERB | []
inherited | xcomp | VERB | [to, have, some]
some | dobj | DET | [of]
of | prep | ADP | [powers]
her | poss | ADJ | []
grand- | compound | ADJ | []
father | poss | NOUN | [her, grand-, ’s]
’s | case | PART | []
powers | pobj | NOUN | [father, of]
of | prep | ADP | [prophecy]
prophecy | pobj | NOUN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,some,appears
the Titans of this myth,the pre - Olympian gods and god- desses but rather a race of primeval men and women,do appear ,"zeus swal- lowed his heart and gave birth to dionysos for a second time with the aid of semele .===however , the titans of this myth do not   appear to be the pre - olympian gods and god- desses but rather a race of primeval men and women .  ===2 .","However | advmod | ADV | []
